epoch,train_loss,val_loss,best_model
1,11.135867,3.326512,True
2,5.017316,3.432751,False
3,4.34761,3.913003,False
4,4.024238,2.902059,True
5,3.654741,2.437497,True
6,3.439346,2.362885,True
7,3.285966,2.649183,False
8,3.172362,2.957514,False
9,3.119431,2.774964,False
10,3.018896,2.637408,False
11,2.812046,2.508048,False
12,2.464406,2.535005,False
13,2.358279,2.195406,True
14,2.312695,1.797144,True
15,2.210067,2.428902,False
16,2.189971,2.523076,False
17,2.145444,2.07138,False
18,2.022084,2.198073,False
19,2.053392,1.706739,True
20,1.929098,2.446166,False
21,1.924217,1.755183,False
22,1.846892,2.300776,False
23,1.852654,2.296996,False
24,1.831453,2.533118,False
25,1.673537,2.433116,False
26,1.60861,1.948323,False
27,1.568959,1.831552,False
28,1.550455,2.274807,False
29,1.5524,2.114426,False
30,1.46851,1.90705,False
31,1.452083,2.070199,False
32,1.434906,1.981482,False
33,1.418043,1.986701,False
34,1.40101,1.932932,False
35,1.354779,1.983009,False
36,1.349964,2.079988,False
37,1.330239,2.193505,False
38,1.360439,2.011555,False
39,1.334831,1.975788,False
40,1.323106,1.997908,False
41,1.326626,2.121328,False
42,1.31955,2.186023,False
43,1.3154,1.965681,False
44,1.305136,2.080464,False
45,1.272177,1.977028,False
46,1.283372,2.083086,False
47,1.276207,1.95086,False
48,1.290251,2.076837,False
49,1.285312,2.081406,False
