epoch,train_loss,val_loss,best_model
1,96.470089,42.832661,True
2,31.448333,43.385331,False
3,26.674427,40.072629,True
4,23.703498,44.610013,False
5,22.482464,38.583142,True
6,20.784344,30.939147,True
7,19.797161,33.451695,False
8,18.835076,36.542038,False
9,16.874842,35.237513,False
10,16.029113,35.92024,False
11,14.716378,31.777489,False
12,14.072474,31.678991,False
13,13.216385,33.102001,False
14,13.21549,36.230406,False
15,12.505007,32.210558,False
16,12.49972,38.554125,False
17,12.500407,32.398426,False
18,12.272267,35.511926,False
19,12.204759,34.170329,False
20,12.109954,38.837827,False
