epoch,train_loss,val_loss,best_model
1,12.249918,7.838641,True
2,5.027236,5.530487,True
3,4.156503,6.55629,False
4,3.730196,7.6796,False
5,3.57873,7.638366,False
6,3.363073,11.52556,False
7,3.083268,6.508706,False
8,2.672171,7.44009,False
9,2.551815,7.765407,False
10,2.460337,7.431212,False
11,2.332073,8.61143,False
12,2.339824,7.717191,False
13,2.13732,7.475708,False
14,2.0625,6.530166,False
15,1.973254,7.669982,False
16,1.955166,8.820915,False
17,1.861531,7.436349,False
18,1.760116,8.437493,False
19,1.739516,9.569682,False
20,1.742671,6.5021,False
21,1.654666,6.775793,False
22,1.680545,7.008863,False
23,1.60384,6.987045,False
24,1.596008,7.523962,False
25,1.576246,7.12105,False
26,1.574417,7.344105,False
27,1.531914,7.141741,False
28,1.536017,7.194739,False
29,1.511778,7.539815,False
30,1.514431,6.988823,False
31,1.506233,7.390545,False
32,1.523385,7.622929,False
33,1.506393,7.525217,False
34,1.489866,7.463337,False
35,1.490297,7.540634,False
36,1.468873,7.789667,False
37,1.456125,7.141552,False
38,1.45809,7.605976,False
39,1.448076,7.433875,False
40,1.452768,7.361319,False
41,1.455888,7.780113,False
42,1.452452,8.022693,False
43,1.442646,7.379783,False
44,1.465704,7.198363,False
45,1.464127,7.296215,False
46,1.4643,7.21858,False
47,1.441403,7.390847,False
48,1.464157,7.36835,False
49,1.449844,7.857246,False
