epoch,train_loss,val_loss,best_model
1,23.231416,13.392299,True
2,10.178192,12.830211,True
3,9.461892,12.334105,True
4,9.001257,11.605461,True
5,8.563494,10.381056,True
6,8.24157,10.462931,False
7,8.021813,11.619176,False
8,7.584125,10.647333,False
9,7.373695,10.239285,True
10,7.328121,10.75829,False
11,7.193852,10.038402,True
12,7.027464,11.205804,False
13,6.95976,10.42487,False
14,6.72901,10.26744,False
15,6.668379,9.843467,True
16,6.570313,9.993883,False
17,6.47494,10.346552,False
18,6.351645,10.530331,False
19,6.385255,10.423606,False
20,6.249417,9.972997,False
