epoch,train_loss,val_loss,best_model
1,13.068701,8.890433,True
2,5.478096,8.485122,True
3,4.522961,6.149049,True
4,4.123454,8.584521,False
5,3.821382,8.784324,False
6,3.552511,10.464007,False
7,3.552062,10.673031,False
8,3.247567,8.68767,False
9,2.876625,8.550259,False
10,2.715357,11.070699,False
11,2.576058,7.584697,False
12,2.423017,6.60615,False
13,2.345586,7.260047,False
14,2.178535,8.502875,False
15,2.160978,6.510952,False
16,2.038506,7.643898,False
17,1.957094,11.04572,False
18,1.879801,7.91015,False
19,1.759494,6.225646,False
20,1.711907,7.338055,False
21,1.664815,8.365827,False
22,1.64956,8.67088,False
23,1.615796,7.688234,False
24,1.578279,8.277178,False
25,1.547295,7.898929,False
26,1.55082,7.779172,False
27,1.525721,8.289195,False
28,1.516677,7.926917,False
29,1.482491,7.669797,False
30,1.478316,8.868678,False
31,1.488191,7.634818,False
32,1.50239,7.803614,False
33,1.474345,7.39066,False
34,1.481433,7.318961,False
35,1.45128,8.08437,False
36,1.44405,7.723817,False
37,1.462357,7.711097,False
38,1.420064,7.819706,False
39,1.452357,7.440404,False
40,1.448023,7.931909,False
41,1.43652,7.763404,False
42,1.435833,7.526432,False
43,1.422642,7.744984,False
44,1.431353,7.698351,False
45,1.437546,7.800901,False
46,1.456787,7.716982,False
47,1.422538,7.822492,False
48,1.400999,7.564754,False
49,1.447776,7.0757,False
