epoch,train_loss,val_loss,best_model
1,11.724808,7.994823,True
2,5.240386,5.331335,True
3,4.569157,7.361426,False
4,4.214616,7.367256,False
5,3.929947,8.59907,False
6,3.700663,5.762868,False
7,3.477064,8.558425,False
8,2.948074,6.314181,False
9,2.769739,8.291159,False
10,2.65439,10.072809,False
11,2.538832,7.22243,False
12,2.448215,8.889862,False
13,2.305124,8.645047,False
14,2.226388,7.911408,False
15,2.162948,7.298352,False
16,2.119928,7.002387,False
17,2.070661,7.605325,False
18,1.956209,8.502446,False
19,1.915716,8.283605,False
20,1.83513,8.795004,False
21,1.799533,8.608382,False
22,1.743569,8.219155,False
23,1.683507,8.34115,False
24,1.696457,7.240566,False
25,1.672542,8.42076,False
26,1.648773,7.287809,False
27,1.641553,8.083455,False
28,1.617241,8.149682,False
29,1.605893,8.314171,False
30,1.612658,7.891974,False
31,1.623156,8.577863,False
32,1.618647,8.031863,False
33,1.588369,7.547969,False
34,1.576273,7.80037,False
35,1.57388,8.31976,False
36,1.582565,7.997848,False
37,1.562478,7.989586,False
38,1.573702,8.228256,False
39,1.551616,7.886289,False
40,1.576806,8.318233,False
41,1.56333,8.263517,False
42,1.553709,8.496112,False
43,1.569335,8.125125,False
44,1.578115,8.400907,False
45,1.557245,8.161643,False
46,1.535222,8.072048,False
47,1.52159,8.229311,False
48,1.552549,8.423868,False
49,1.539174,8.10141,False
