epoch,train_loss,val_loss,best_model
1,23.397709,12.108583,True
2,5.220332,7.28125,True
3,3.719867,8.831073,False
4,3.344536,8.739947,False
5,3.020974,7.503337,False
6,2.868678,8.52737,False
7,2.717286,6.766258,True
8,2.643948,5.532579,True
9,2.534376,5.427247,True
10,2.466037,7.136363,False
11,2.424297,6.806866,False
12,2.321981,7.794154,False
13,2.302164,7.92922,False
14,2.259329,13.481259,False
15,2.180365,5.6434,False
16,2.211779,6.347832,False
17,2.105324,5.994334,False
18,1.912005,8.02207,False
19,1.921368,6.656976,False
20,1.870484,6.420165,False
