epoch,train_loss,val_loss,best_model
1,524.267372,394.323482,True
2,422.037531,414.148122,False
3,389.046163,385.006707,True
4,370.236906,413.609253,False
5,342.408479,341.139476,True
6,330.343081,360.790554,False
7,318.306046,323.682159,True
8,309.574024,285.708212,True
9,319.503977,263.793471,True
10,292.836331,289.662395,False
11,293.431882,357.81894,False
12,295.658116,341.680186,False
13,287.632249,347.000684,False
14,255.220243,306.416315,False
15,244.670241,294.021325,False
16,242.184296,295.675952,False
17,245.402156,288.934538,False
18,225.843588,277.693489,False
19,221.622519,280.199516,False
20,219.212327,284.557249,False
21,218.744802,285.516457,False
22,208.331627,282.343234,False
23,207.839903,307.046465,False
24,205.124365,286.991511,False
25,204.890851,297.418162,False
26,198.032605,292.123879,False
27,200.980608,286.976335,False
28,198.405305,276.596605,False
29,199.407042,299.304419,False
30,199.826802,286.451037,False
