epoch,train_loss,val_loss,best_model
1,24.294131,12.569082,True
2,6.609045,11.687732,True
3,4.66603,6.853999,True
4,3.835872,9.733609,False
5,3.420019,6.996599,False
6,3.181844,7.600882,False
7,2.967455,6.354219,True
8,2.888455,8.82804,False
9,2.733761,8.027307,False
10,2.697659,7.999129,False
11,2.641891,7.109545,False
12,2.648646,8.154081,False
13,2.540657,8.567449,False
14,2.472604,7.193243,False
15,2.429137,7.588171,False
16,2.270187,9.093794,False
17,2.188654,8.209033,False
18,2.159557,7.921511,False
19,2.144652,7.448457,False
20,2.11768,6.748031,False
