epoch,train_loss,val_loss,best_model
1,96.912362,40.017112,True
2,31.368608,42.400483,False
3,26.538626,46.320517,False
4,22.108733,34.80801,True
5,20.641641,34.913917,False
6,19.490669,34.642121,True
7,18.501752,35.850812,False
8,17.775791,34.301523,True
9,17.199049,31.350972,True
10,16.692769,35.784969,False
11,15.987504,36.346769,False
12,14.606406,34.116059,False
13,13.802815,34.511188,False
14,13.190027,39.813242,False
15,12.824866,33.800165,False
16,12.427718,32.922234,False
17,12.409047,31.727287,False
18,12.142736,32.730644,False
19,11.980185,32.452851,False
20,11.783437,32.382553,False
