epoch,train_loss,val_loss,best_model
1,588.41209,149.946095,True
2,308.088023,141.432688,True
3,285.34904,152.68618,False
4,276.478469,165.654012,False
5,268.698123,135.370192,True
6,260.002706,127.843947,True
7,250.025266,122.73823,True
8,243.886418,161.427955,False
9,245.066766,171.085183,False
10,235.799998,118.973157,True
11,230.581726,142.668158,False
12,227.008893,154.619892,False
13,223.974155,117.854667,True
14,219.816123,142.823437,False
15,214.025272,137.874312,False
16,213.730366,133.279964,False
17,209.981696,146.037339,False
18,194.54423,138.254941,False
19,190.450847,137.226967,False
20,186.813666,144.996465,False
21,183.695335,148.385543,False
22,173.716834,138.248146,False
23,171.793072,137.185572,False
24,170.166593,147.514172,False
25,168.766875,135.614467,False
26,165.616637,132.959589,False
27,163.012911,133.776394,False
28,164.815106,137.653093,False
29,161.717452,132.931364,False
30,161.088036,134.236821,False
