epoch,train_loss,val_loss,best_model
1,11.578135,10.050392,True
2,4.507082,11.40257,False
3,3.958301,7.834088,True
4,3.649416,7.996557,False
5,3.372063,8.907865,False
6,3.136865,7.952539,False
7,2.996541,7.292676,True
8,2.9359,8.457837,False
9,2.742403,5.963767,True
10,2.641213,5.76981,True
11,2.629375,8.304821,False
12,2.533585,6.630603,False
13,2.332166,8.133622,False
14,2.28896,8.019813,False
15,2.214561,8.296554,False
16,1.956916,8.35507,False
17,1.872672,8.679871,False
18,1.838299,7.671627,False
19,1.770992,8.520197,False
20,1.723772,8.352376,False
21,1.606529,10.440681,False
22,1.555827,7.969476,False
23,1.548867,8.37799,False
24,1.526392,7.490433,False
25,1.50461,7.80194,False
26,1.469529,7.330711,False
27,1.429086,7.438881,False
28,1.435062,8.120919,False
29,1.399454,6.470988,False
30,1.391619,7.651968,False
31,1.323192,8.370466,False
32,1.336218,8.803986,False
33,1.317764,7.583136,False
34,1.327394,7.061526,False
35,1.306793,7.437388,False
36,1.288089,7.931492,False
37,1.280705,7.374881,False
38,1.282387,7.614006,False
39,1.276069,7.244505,False
40,1.278281,7.662565,False
41,1.23961,7.51279,False
42,1.242291,7.318429,False
43,1.236002,7.993505,False
44,1.229419,7.972962,False
45,1.240834,7.404343,False
46,1.22895,7.933782,False
47,1.220063,7.470766,False
48,1.245917,7.442376,False
49,1.239793,7.349996,False
