epoch,train_loss,val_loss,best_model
1,91.476673,39.48812,True
2,30.554249,39.793963,False
3,26.080365,37.338579,True
4,23.21212,42.321316,False
5,21.877042,38.162467,False
6,18.814389,36.839561,True
7,17.921637,32.708739,True
8,17.333139,36.660433,False
9,16.362111,34.119725,False
10,14.977511,35.730693,False
11,14.343683,33.578392,False
12,13.694563,32.164626,True
13,13.283515,34.607119,False
14,13.157126,34.890386,False
15,12.70886,34.622471,False
16,12.511485,33.794835,False
17,12.413607,34.489645,False
18,12.138651,35.545241,False
19,12.052066,33.433406,False
20,12.034216,41.084123,False
