epoch,train_loss,val_loss,best_model
1,21.979023,7.084445,True
2,4.337134,7.7661,False
3,3.442109,6.41702,True
4,3.070444,6.245265,True
5,2.8651,8.028531,False
6,2.800811,5.927738,True
7,2.641422,8.441338,False
8,2.601228,9.062458,False
9,2.483305,7.471015,False
10,2.387279,6.091801,False
11,2.361135,6.044531,False
12,2.316876,9.602698,False
13,2.301781,5.457114,True
14,2.242447,6.075051,False
15,2.264418,7.675494,False
16,2.142365,6.52508,False
17,2.185749,8.096101,False
18,2.138274,7.590721,False
19,2.057253,7.759071,False
20,2.061374,7.625112,False
