epoch,train_loss,val_loss,best_model
1,333.013792,142.125259,True
2,59.987038,88.90157,True
3,51.578083,80.903949,True
4,49.26861,87.918829,False
5,47.998969,71.285735,True
6,46.513434,75.520916,False
7,45.697887,73.268991,False
8,45.403091,77.15319,False
9,44.366764,65.258088,True
10,43.921852,69.194576,False
11,43.544283,67.456536,False
12,42.754879,71.268706,False
13,42.88157,68.325106,False
14,41.892886,68.535665,False
15,41.669022,67.644149,False
16,41.529782,67.889979,False
17,41.71039,68.978274,False
18,41.48358,70.011229,False
19,41.457999,68.245812,False
20,41.410145,66.247809,False
