epoch,train_loss,val_loss,best_model
1,10.828826,9.855457,True
2,4.402962,5.576168,True
3,3.882619,6.400497,False
4,3.549497,7.081387,False
5,3.302356,8.63664,False
6,3.124317,8.517162,False
7,3.040448,9.179916,False
8,2.710606,8.448057,False
9,2.566665,7.839749,False
10,2.483203,8.560875,False
11,2.399445,6.985469,False
12,2.210015,7.635171,False
13,2.020277,9.347097,False
14,1.922767,7.82935,False
15,1.878125,8.54906,False
16,1.832472,7.400328,False
17,1.796385,7.760469,False
18,1.678367,8.020662,False
19,1.662422,6.894348,False
20,1.626544,7.306699,False
21,1.602133,7.339879,False
22,1.60037,7.123955,False
23,1.577238,7.068789,False
24,1.54096,7.540434,False
25,1.580296,8.067373,False
26,1.520128,6.96469,False
27,1.501852,7.097982,False
28,1.475592,7.257309,False
29,1.470971,7.179487,False
30,1.474959,6.784949,False
31,1.447592,7.841582,False
32,1.430696,7.314677,False
33,1.465612,7.185352,False
34,1.426205,7.447398,False
35,1.450637,7.24136,False
36,1.408661,7.081422,False
37,1.419705,7.340033,False
38,1.413069,7.122899,False
39,1.416143,7.097844,False
40,1.42083,7.085697,False
41,1.383048,7.201737,False
42,1.387348,7.138176,False
43,1.397529,7.373849,False
44,1.388659,7.327081,False
45,1.410985,7.287668,False
46,1.404121,6.841161,False
47,1.367639,7.17539,False
48,1.381905,7.207067,False
49,1.388664,7.099267,False
