epoch,train_loss,val_loss,best_model
1,13.642353,5.646829,True
2,5.210831,5.098702,True
3,4.3333,7.373719,False
4,3.923419,7.112946,False
5,3.586497,6.962121,False
6,3.433549,4.182835,True
7,3.224811,6.883799,False
8,3.093326,8.109118,False
9,2.90625,6.215662,False
10,2.854384,6.873342,False
11,2.740719,6.208169,False
12,2.44679,5.588587,False
13,2.34512,4.535481,False
14,2.2858,6.598588,False
15,2.174991,5.312799,False
16,2.117086,5.014647,False
17,1.91263,5.441851,False
18,1.8728,5.81306,False
19,1.808782,5.259101,False
20,1.751491,7.433534,False
21,1.768574,5.226317,False
22,1.645493,5.075414,False
23,1.636048,4.80351,False
24,1.630946,5.54059,False
25,1.597306,6.312588,False
26,1.605213,5.828418,False
27,1.562391,5.654695,False
28,1.560288,5.642666,False
29,1.509229,5.94836,False
30,1.522459,5.85545,False
31,1.518838,5.405608,False
32,1.499318,5.604967,False
33,1.498557,6.144664,False
34,1.483426,5.733405,False
35,1.493504,5.159517,False
36,1.459961,5.810577,False
37,1.459266,5.243483,False
38,1.453952,5.881562,False
39,1.450899,5.88262,False
40,1.452261,5.390145,False
41,1.437427,5.928635,False
42,1.417883,5.889489,False
43,1.445065,5.60641,False
44,1.426652,5.549707,False
45,1.421224,5.323577,False
46,1.448697,5.743972,False
47,1.432451,5.539739,False
48,1.425805,5.382471,False
49,1.417546,5.825098,False
