epoch,train_loss,val_loss,best_model
1,25.163149,9.276708,True
2,5.231779,5.720084,True
3,3.871381,5.861984,False
4,3.397047,6.994536,False
5,3.165739,7.644947,False
6,2.961256,6.463539,False
7,2.83185,6.598583,False
8,2.837565,5.93037,False
9,2.670945,4.838365,True
10,2.625375,5.37901,False
11,2.523576,6.355549,False
12,2.528737,6.450405,False
13,2.482337,6.425999,False
14,2.439889,4.868096,False
15,2.328423,7.062501,False
16,2.356752,7.177545,False
17,2.227425,6.031043,False
18,2.066791,5.679859,False
19,1.996584,6.381383,False
20,1.975421,5.352581,False
