epoch,train_loss,val_loss,best_model
1,23.250358,14.12804,True
2,6.444459,6.412655,True
3,4.378539,9.24443,False
4,3.623364,6.747912,False
5,3.17215,6.514455,False
6,2.970447,8.766865,False
7,2.788751,8.809397,False
8,2.686192,7.069094,False
9,2.605812,6.98876,False
10,2.502493,7.442311,False
11,2.285655,6.819145,False
12,2.255716,7.920657,False
13,2.211863,8.586714,False
14,2.200288,7.20543,False
15,2.13797,8.212817,False
16,2.136547,6.44677,False
17,2.06121,7.112892,False
18,2.055707,7.578308,False
19,1.9412,7.433985,False
20,1.934557,7.37167,False
