epoch,train_loss,val_loss,best_model
1,22.986425,13.509578,True
2,9.459705,14.166548,False
3,8.834491,11.922433,True
4,8.304835,13.531041,False
5,8.002674,14.207798,False
6,7.517123,12.396361,False
7,7.335289,11.713811,True
8,7.164759,12.751804,False
9,7.015542,13.011176,False
10,6.769858,12.503236,False
11,6.701748,12.0671,False
12,6.500702,12.695173,False
13,6.448557,12.432956,False
14,6.393672,11.44305,True
15,6.396481,11.592177,False
16,6.326995,11.753617,False
17,6.293805,12.370137,False
18,6.234012,11.628881,False
19,6.219805,11.843423,False
20,6.296817,12.061636,False
21,6.235721,12.160216,False
22,6.271183,12.069783,False
23,6.226423,12.593369,False
24,6.186675,12.310055,False
25,6.222934,11.978838,False
