epoch,train_loss,val_loss,best_model
1,17.717121,5.057775,True
2,3.514911,4.896182,True
3,2.803162,4.547751,True
4,2.485413,4.785449,False
5,2.403912,4.357016,True
6,2.182894,5.010713,False
7,2.167646,4.845972,False
8,2.055425,4.439865,False
9,2.005933,4.794109,False
10,1.986391,5.598363,False
11,1.901938,4.357341,False
12,1.889401,4.609895,False
13,1.790127,5.035188,False
14,1.634625,5.000869,False
15,1.597356,4.519287,False
16,1.566495,4.430402,False
17,1.551149,4.916806,False
18,1.532216,4.42096,False
19,1.533763,4.501843,False
20,1.510574,4.51643,False
