epoch,train_loss,val_loss,best_model
1,637.476384,353.266247,True
2,343.798754,299.471122,True
3,317.72222,336.131605,False
4,305.308954,302.710444,False
5,295.832441,302.539148,False
6,287.697735,283.142059,True
7,279.32745,291.044856,False
8,269.976893,356.197585,False
9,268.662813,253.784656,True
10,256.910609,271.551215,False
11,251.527528,291.43149,False
12,247.752085,305.548382,False
13,241.412069,293.699067,False
14,225.519233,284.579154,False
15,215.097203,312.923069,False
16,215.922023,285.8674,False
17,210.952396,278.704461,False
18,200.894509,275.623054,False
19,197.997292,285.754642,False
20,199.839294,286.855836,False
21,197.320282,283.444659,False
22,188.143009,286.309265,False
23,188.751803,289.939587,False
24,185.696863,294.668701,False
25,187.143715,289.896811,False
26,182.442392,288.883277,False
27,183.02925,291.575939,False
28,181.610114,287.155086,False
29,180.997407,287.819194,False
30,180.623809,286.19584,False
