epoch,train_loss,val_loss,best_model
1,94.553641,50.516975,True
2,33.866755,58.209951,False
3,28.856876,35.581469,True
4,25.458432,39.19025,False
5,23.348791,41.300043,False
6,19.987671,40.492631,False
7,18.764547,33.792904,True
8,17.897039,41.101543,False
9,17.027691,41.368467,False
10,15.380749,36.255792,False
11,14.938417,39.386098,False
12,14.124048,37.095939,False
13,13.819302,38.1507,False
14,13.35664,36.522649,False
15,13.096974,40.749148,False
16,12.852144,39.188636,False
17,12.640208,39.546489,False
18,12.644378,38.096895,False
19,12.622796,39.68006,False
20,12.646953,37.942677,False
