epoch,train_loss,val_loss,best_model
1,98.165446,39.46731,True
2,35.680867,41.772903,False
3,29.580741,37.13523,True
4,25.731347,35.845403,True
5,23.560601,33.966892,True
6,21.995949,39.458454,False
7,20.453592,39.920909,False
8,18.207467,36.033486,False
9,17.174246,36.827742,False
10,15.718881,43.042318,False
11,14.995709,39.025861,False
12,14.153661,49.646791,False
13,13.902194,39.654184,False
14,13.485359,37.730613,False
15,13.154757,35.491407,False
16,12.933049,39.421145,False
17,13.043195,36.323853,False
18,12.771882,38.419573,False
19,12.746763,39.257664,False
20,12.713879,42.040875,False
