epoch,train_loss,val_loss,best_model
1,12.143168,11.380573,True
2,4.899181,10.787859,True
3,4.112383,10.463733,True
4,3.777917,9.754558,True
5,3.581823,8.626926,True
6,3.321502,9.742865,False
7,3.073059,7.630372,True
8,2.997752,8.584765,False
9,2.790996,8.409458,False
10,2.648384,8.278317,False
11,2.469917,10.321167,False
12,2.40236,7.140357,True
13,2.272233,7.830836,False
14,2.229161,5.534736,True
15,2.202249,6.869788,False
16,2.143545,10.634724,False
17,2.122412,6.915022,False
18,2.01583,9.711195,False
19,1.963882,9.503275,False
20,1.780013,11.005811,False
21,1.704745,7.335826,False
22,1.613291,7.587319,False
23,1.666092,7.9198,False
24,1.561217,7.33322,False
25,1.432364,7.143817,False
26,1.39334,7.262086,False
27,1.394541,6.943925,False
28,1.346894,8.960345,False
29,1.342683,7.03299,False
30,1.306205,7.323972,False
31,1.289103,7.261183,False
32,1.285348,6.904143,False
33,1.250553,6.86917,False
34,1.248616,6.37108,False
35,1.237587,6.642769,False
36,1.222823,7.245457,False
37,1.212311,6.949933,False
38,1.209302,7.425428,False
39,1.20698,7.785507,False
40,1.187919,7.388703,False
41,1.186131,7.60727,False
42,1.208944,7.029367,False
43,1.184201,7.244721,False
44,1.180705,7.542431,False
45,1.179302,6.906525,False
46,1.161826,7.093166,False
47,1.164136,7.278487,False
48,1.171371,7.391244,False
49,1.159384,7.118367,False
