epoch,train_loss,val_loss,best_model
1,540.526853,123.900951,True
2,277.563137,105.885814,True
3,254.215194,157.015274,False
4,244.55708,112.372076,False
5,236.180078,98.898615,True
6,231.790502,103.23781,False
7,227.162373,112.068731,False
8,219.262978,109.636093,False
9,214.707303,105.194355,False
10,199.242536,102.129375,False
11,194.712028,108.412842,False
12,191.023308,103.238264,False
13,187.207221,103.092693,False
14,177.478514,96.198552,True
15,176.768146,111.969571,False
16,173.370777,99.079652,False
17,173.635659,103.062031,False
18,171.943134,97.884864,False
19,164.484698,100.778725,False
20,166.421637,101.48567,False
21,163.859526,98.100314,False
22,161.290147,102.106584,False
23,158.473363,102.255292,False
24,158.170449,103.41518,False
25,159.457045,105.970631,False
26,156.682867,99.981774,False
27,157.509179,105.518716,False
28,155.84646,102.690412,False
29,157.00516,106.258524,False
30,155.328295,102.987625,False
