epoch,train_loss,val_loss,best_model
1,12.108996,7.349668,True
2,5.279689,6.713825,True
3,4.545323,7.823072,False
4,4.075771,8.381547,False
5,3.750395,8.272051,False
6,3.467944,9.673423,False
7,3.145457,8.502159,False
8,2.660122,8.562586,False
9,2.612036,7.795377,False
10,2.49225,7.964166,False
11,2.404399,7.627229,False
12,2.278388,6.51611,True
13,2.232075,8.121609,False
14,2.129848,6.825237,False
15,2.108913,6.496518,True
16,2.085799,8.384952,False
17,2.048281,6.711749,False
18,1.955264,7.682671,False
19,1.915349,7.190532,False
20,1.931148,8.304182,False
21,1.791567,7.78192,False
22,1.738888,9.694019,False
23,1.682936,6.881735,False
24,1.658983,6.890604,False
25,1.62748,5.962374,True
26,1.617629,8.025212,False
27,1.576898,8.704279,False
28,1.547363,6.852374,False
29,1.533239,9.179494,False
30,1.486945,8.634812,False
31,1.41085,7.286515,False
32,1.386849,6.681008,False
33,1.390027,9.142038,False
34,1.383926,8.228819,False
35,1.371045,6.688485,False
36,1.328935,7.250547,False
37,1.299496,7.594982,False
38,1.283859,7.795353,False
39,1.294813,7.487268,False
40,1.303406,7.828012,False
41,1.307998,7.318052,False
42,1.268382,7.408848,False
43,1.278231,7.92958,False
44,1.255369,7.258729,False
45,1.268183,7.41393,False
46,1.262719,7.312129,False
47,1.238636,7.452235,False
48,1.25766,7.573018,False
49,1.226005,7.635142,False
