epoch,train_loss,val_loss,best_model
1,95.606538,56.289342,True
2,33.467253,43.435224,True
3,28.367714,37.011726,True
4,25.328286,35.258096,True
5,22.621674,37.521126,False
6,21.070589,38.979931,False
7,18.175547,37.780452,False
8,17.295896,38.642046,False
9,15.763858,33.808962,True
10,15.137557,35.842327,False
11,14.662625,39.490376,False
12,13.886232,40.340635,False
13,13.550404,35.978317,False
14,13.060798,31.995868,True
15,12.87031,36.237634,False
16,12.674224,33.902563,False
17,12.660796,34.203282,False
18,12.544618,35.531378,False
19,12.212202,36.641957,False
20,12.505693,34.421801,False
