epoch,train_loss,val_loss,best_model
1,90.887086,37.152513,True
2,29.510928,32.995788,True
3,25.138507,31.182514,True
4,22.76286,31.656653,False
5,20.865862,33.317417,False
6,18.433927,29.822415,True
7,17.330994,30.17274,False
8,16.47251,29.645654,True
9,15.953306,30.495885,False
10,15.383422,30.321806,False
11,13.785856,27.948939,True
12,13.489091,31.410318,False
13,13.122299,30.121855,False
14,12.389107,29.547811,False
15,12.142934,31.761421,False
16,11.550402,28.725099,False
17,11.364764,31.007985,False
18,11.322657,28.662866,False
19,11.238966,29.284498,False
20,11.124507,28.362578,False
