epoch,train_loss,val_loss,best_model
1,12.341543,9.172072,True
2,5.095942,7.225942,True
3,4.282887,8.064933,False
4,3.927579,8.837588,False
5,3.711724,6.69746,True
6,3.366551,6.913957,False
7,3.133139,9.020125,False
8,3.02679,9.675369,False
9,2.881533,8.533548,False
10,2.735198,7.983021,False
11,2.450861,7.900392,False
12,2.320952,6.962125,False
13,2.268889,8.424413,False
14,2.175115,7.948332,False
15,2.096504,8.420962,False
16,1.989319,5.530059,True
17,1.938342,6.449148,False
18,1.851227,7.052737,False
19,1.807285,6.801125,False
20,1.775313,7.648628,False
21,1.751299,7.980649,False
22,1.674418,7.369915,False
23,1.661269,7.888352,False
24,1.629735,7.491004,False
25,1.637269,6.936708,False
26,1.557878,7.37932,False
27,1.537405,7.171547,False
28,1.482324,7.228392,False
29,1.478597,7.183087,False
30,1.468191,7.539051,False
31,1.448271,6.823572,False
32,1.437063,7.114645,False
33,1.437161,6.623281,False
34,1.401137,7.351542,False
35,1.424878,7.100159,False
36,1.427214,7.267042,False
37,1.386824,7.16503,False
38,1.396234,7.017002,False
39,1.374593,6.920944,False
40,1.374009,7.096406,False
41,1.375765,7.102974,False
42,1.35835,7.467182,False
43,1.38365,7.050388,False
44,1.355884,7.504656,False
45,1.370281,7.243433,False
46,1.377295,7.2257,False
47,1.371202,7.141288,False
48,1.355462,7.32161,False
49,1.356306,6.850293,False
