epoch,train_loss,val_loss,best_model
1,22.043886,9.831944,True
2,4.781598,8.693629,True
3,3.459138,8.050218,True
4,3.075585,8.238207,False
5,2.830453,9.596695,False
6,2.654292,7.613559,True
7,2.539733,7.898839,False
8,2.507135,6.746323,True
9,2.393656,6.588833,True
10,2.378592,7.762159,False
11,2.259009,6.392554,True
12,2.228928,6.447338,False
13,2.147525,6.199683,True
14,2.160015,8.570298,False
15,2.046461,7.742789,False
16,2.044904,8.233181,False
17,2.044751,9.610384,False
18,1.965248,6.032714,True
19,1.92029,6.510094,False
20,1.928827,6.920066,False
