epoch,train_loss,val_loss,best_model
1,96.320686,39.709468,True
2,34.636151,40.736075,False
3,28.55838,39.395843,True
4,25.210819,35.857754,True
5,23.271389,40.904367,False
6,21.512839,36.782291,False
7,18.815166,33.59305,True
8,17.550016,42.918546,False
9,17.026745,36.853831,False
10,15.606871,40.255804,False
11,14.915617,43.7039,False
12,14.061111,46.186587,False
13,13.683486,40.747632,False
14,13.480383,38.393932,False
15,13.370484,47.492134,False
16,13.057718,41.579654,False
17,12.811786,37.106799,False
18,12.679069,33.924643,False
19,12.719204,41.774769,False
20,12.525995,46.302208,False
