epoch,train_loss,val_loss,best_model
1,11.182201,2.80711,True
2,4.630188,2.163233,True
3,3.943894,2.428592,False
4,3.609654,2.386966,False
5,3.427073,2.576074,False
6,3.32302,2.646552,False
7,3.11545,2.382558,False
8,2.677032,2.331209,False
9,2.59647,2.351503,False
10,2.443081,2.226199,False
11,2.413114,2.385745,False
12,2.259173,1.970981,True
13,2.254687,2.030308,False
14,2.205325,2.063032,False
15,2.051846,2.435774,False
16,2.056048,2.135486,False
17,1.996674,2.265723,False
18,1.802637,2.050795,False
19,1.792898,2.034521,False
20,1.768764,2.150885,False
21,1.725857,2.163361,False
22,1.698854,2.258154,False
23,1.596149,2.170473,False
24,1.583039,2.09482,False
25,1.526548,2.172393,False
26,1.524865,2.161756,False
27,1.510841,2.126353,False
28,1.451865,2.218937,False
29,1.431586,2.095782,False
30,1.440052,2.176167,False
31,1.431025,2.137313,False
32,1.41078,2.108393,False
33,1.383642,2.26016,False
34,1.392642,2.249643,False
35,1.372035,2.126783,False
36,1.376763,2.164039,False
37,1.368739,2.209347,False
38,1.365047,2.199869,False
39,1.357979,2.127597,False
40,1.366717,2.15388,False
41,1.338162,2.169392,False
42,1.359181,2.207991,False
43,1.354598,2.13891,False
44,1.338108,2.179874,False
45,1.33124,2.223882,False
46,1.336011,2.202186,False
47,1.338163,2.117844,False
48,1.35776,2.2232,False
49,1.336793,2.268444,False
