epoch,train_loss,val_loss,best_model
1,20.638627,10.444718,True
2,4.063798,9.570366,True
3,3.234503,6.788689,True
4,2.891353,7.82281,False
5,2.700767,9.083614,False
6,2.574548,7.2486,False
7,2.478519,6.497432,True
8,2.386209,7.829861,False
9,2.285713,9.918574,False
10,2.257186,9.477714,False
11,2.204484,7.953644,False
12,2.146404,8.616399,False
13,2.150514,7.079993,False
14,2.049277,8.194844,False
15,2.055055,10.921465,False
16,1.85933,7.473608,False
17,1.792311,8.531525,False
18,1.753853,9.488954,False
19,1.775138,8.112065,False
20,1.720945,8.949782,False
