epoch,train_loss,val_loss,best_model
1,25.312654,15.088472,True
2,6.365932,7.229398,True
3,4.020637,9.526313,False
4,3.479822,8.520072,False
5,3.200314,11.550349,False
6,3.065644,7.696887,False
7,2.908245,6.681135,True
8,2.864757,9.227504,False
9,2.806249,7.964855,False
10,2.697523,6.794948,False
11,2.703709,5.837275,True
12,2.652165,6.510169,False
13,2.543984,9.668646,False
14,2.535353,8.085091,False
15,2.487775,6.760489,False
16,2.479077,7.256495,False
17,2.458542,6.878494,False
18,2.375763,6.571862,False
19,2.328981,6.875171,False
20,2.134303,7.711361,False
