epoch,train_loss,val_loss,best_model
1,86.217517,67.048834,True
2,48.314643,59.927255,True
3,45.563391,81.614417,False
4,43.137583,60.920794,False
5,41.768772,66.972356,False
6,40.949891,62.648198,False
7,39.930956,66.777273,False
8,39.61218,62.509718,False
9,39.124542,61.287771,False
10,39.061133,61.273709,False
11,38.730467,61.794827,False
12,38.671262,60.469054,False
13,38.449085,57.060243,True
14,38.445454,59.393084,False
15,38.636769,60.488628,False
16,38.402026,61.545295,False
17,38.322143,58.946973,False
18,38.341398,57.783164,False
19,38.533187,58.244561,False
20,38.652732,58.02869,False
