epoch,train_loss,val_loss,best_model
1,12.449833,9.311759,True
2,5.100692,9.262746,True
3,3.938944,9.090313,True
4,3.427946,6.979238,True
5,3.204626,8.987584,False
6,3.025086,7.931451,False
7,2.85684,9.880947,False
8,2.71485,7.738841,False
9,2.554504,8.176896,False
10,2.235634,7.76775,False
11,2.125784,8.003702,False
12,2.060178,7.972791,False
13,1.991577,7.958122,False
14,1.956705,8.579649,False
15,1.800975,9.453547,False
16,1.742315,9.363294,False
17,1.734655,8.401782,False
18,1.720941,9.180108,False
19,1.709451,8.820753,False
20,1.618932,8.414651,False
21,1.627703,9.206171,False
22,1.600802,9.078272,False
23,1.526739,8.499872,False
24,1.526413,8.578571,False
25,1.501072,8.209638,False
26,1.488638,9.067831,False
27,1.460469,7.362196,False
28,1.441295,8.196409,False
29,1.446849,7.523623,False
30,1.421675,8.667368,False
31,1.41924,9.234463,False
32,1.420102,8.186791,False
33,1.403697,8.375675,False
34,1.398462,7.857387,False
35,1.363993,8.223688,False
36,1.376679,7.928042,False
37,1.373291,8.057041,False
38,1.37215,7.957453,False
39,1.37686,8.337411,False
40,1.364831,8.126638,False
41,1.382066,8.194821,False
42,1.368226,8.059186,False
43,1.357327,8.188266,False
44,1.368534,8.361245,False
45,1.354094,8.372256,False
46,1.343204,8.113692,False
47,1.337255,8.367597,False
48,1.351174,8.338363,False
49,1.345102,8.170839,False
